id,num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
fud9GZG_19,7,576,583,0.0122
fud9GZG_27,4,348,352,0.0115
v4PzAY8_0,2,9,11,0.2222
IJ4n5em_0,69,406,475,0.17
aFQ1wf6_0,19,405,424,0.0469
khWNavV_0,7,210,217,0.0333
NhvViwM_0,68,303,371,0.2244
mxEe31E_0,3,213,216,0.0141
etlVnIy_0,20,327,347,0.0612
etlVnIy_13,8,371,379,0.0216
o67mG13_0,22,302,324,0.0728
THAybyi_0,12,232,244,0.0517
Dk6qZaf_0,31,37,68,0.8378
tgKByb7_0,4,138,142,0.029
tgKByb7_9,9,508,517,0.0177
GG8dVob_0,8,242,250,0.0331
lV4R2w4_0,22,336,358,0.0655
SWdKUmo_0,41,165,206,0.2485
SWdKUmo_21,21,221,242,0.095
tAUIJDD_0,15,131,146,0.1145
tAUIJDD_15,6,656,662,0.0091
SaIKRQ4_0,126,162,288,0.7778
tFAvE80_0,12,259,271,0.0463
tFAvE80_13,18,724,742,0.0249
tFAvE80_21,11,270,281,0.0407
tFAvE80_31,18,578,596,0.0311
tFAvE80_39,11,308,319,0.0357
tFAvE80_49,14,498,512,0.0281
aureXq6_0,7,653,660,0.0107
aureXq6_9,8,404,412,0.0198
jjwRxUY_0,31,170,201,0.1824
2wtLdZm_0,10,88,98,0.1136
uXyoBKr_0,25,640,665,0.0391
uXyoBKr_5,15,917,932,0.0164
w31Bk3K_0,27,226,253,0.1195
w31Bk3K_15,18,248,266,0.0726
xd92L6L_0,308,136,444,2.2647
xd92L6L_15,13,202,215,0.0644
xd92L6L_39,257,282,539,0.9113
xd92L6L_48,277,210,487,1.319
xd92L6L_63,5,225,230,0.0222
xd92L6L_80,255,135,390,1.8889
xd92L6L_95,26,309,335,0.0841
eYj4Nqi_0,72,300,372,0.24
50SbvAt_0,52,94,146,0.5532
zWauOni_0,24,231,255,0.1039
MKrcrHj_0,10,371,381,0.027
1HuVef4_0,5,25,30,0.2
6CWcc2w_0,445,99,544,4.4949
KdfQsce_0,15,496,511,0.0302
VZVve87_0,352,95,447,3.7053
7pRcopi_0,30,411,441,0.073
4Wwxlin_0,15,202,217,0.0743
RU6GzqQ_0,18,435,453,0.0414
jamWAp9_0,53,234,287,0.2265
9UIByXH_0,7,187,194,0.0374
fpgNDwP_0,14,159,173,0.0881
Ot1oxuK_0,8,14,22,0.5714
Ot1oxuK_7,2,903,905,0.0022
gcVkCKD_0,198,444,642,0.4459
vfD3HFX_0,9,283,292,0.0318
CmD5m6T_0,8,514,522,0.0156
CmD5m6T_9,18,504,522,0.0357
LuMzUEg_0,10,320,330,0.0312
LuMzUEg_11,4,408,412,0.0098
LuMzUEg_19,20,618,638,0.0324
LuMzUEg_31,4,458,462,0.0087
LuMzUEg_39,7,218,225,0.0321
ZivWPmv_0,836,441,1277,1.8957
ZivWPmv_4,2316,506,2822,4.5771
BZOnM3l_0,9,91,100,0.0989
WC5I3VQ_0,99,751,850,0.1318
eDt8ex9_0,21,143,164,0.1469
DOpwVfg_0,154,100,254,1.54
DOpwVfg_11,60,310,370,0.1935
wYX2jxL_0,7,345,352,0.0203
WSGTmPU_0,25,110,135,0.2273
ltqfPQc_0,85,781,866,0.1088
ltqfPQc_9,36,328,364,0.1098
epHKYo9_0,10,389,399,0.0257
5IjWRg9_0,15,120,135,0.125
aaTQJBE_0,54,208,262,0.2596
aaTQJBE_2,5363,200,5563,26.815
aaTQJBE_3,7,200,207,0.035
aaTQJBE_11,943,178,1121,5.2978
aaTQJBE_19,6,387,393,0.0155
aaTQJBE_22,5719,165,5884,34.6606
aaTQJBE_23,23,165,188,0.1394
xEJZdAJ_0,11,389,400,0.0283
6TbIqut_0,142,17,159,8.3529
8KQw9Qd_0,11,244,255,0.0451
GSVsCCg_0,1978,304,2282,6.5066
GSVsCCg_1,8,304,312,0.0263
GSVsCCg_8,1246,358,1604,3.4804
GSVsCCg_11,453,649,1102,0.698
y4SapW3_0,22,187,209,0.1176
LCcy8gc_0,83,136,219,0.6103
7lpDzjo_0,16,605,621,0.0264
6ZSqyNe_0,41,240,281,0.1708
uEDRWak_0,9,227,236,0.0396
9zcTaA1_0,30,357,387,0.084
DfkWNPQ_0,17,201,218,0.0846
WjNoAPk_0,12,247,259,0.0486
CipTWlm_0,869,248,1117,3.504
CipTWlm_4,707,508,1215,1.3917
CipTWlm_6,987,431,1418,2.29
CipTWlm_9,11,805,816,0.0137
CipTWlm_13,96,795,891,0.1208
CipTWlm_19,21,642,663,0.0327
CipTWlm_22,781,650,1431,1.2015
CipTWlm_25,59,569,628,0.1037
CipTWlm_34,626,44,670,14.2273
CipTWlm_41,30,495,525,0.0606
CipTWlm_49,40,702,742,0.057
CipTWlm_55,178,622,800,0.2862
CipTWlm_63,446,267,713,1.6704
CipTWlm_73,96,528,624,0.1818
CipTWlm_78,1828,329,2157,5.5562
CipTWlm_80,1774,359,2133,4.9415
CipTWlm_81,10,359,369,0.0279
CipTWlm_84,1749,454,2203,3.8524
0Mi7fg7_0,21,325,346,0.0646
AfGmFoa_0,24,73,97,0.3288
9nPyg92_0,52,273,325,0.1905
KafNR77_0,58,683,741,0.0849
KafNR77_9,14,526,540,0.0266
KafNR77_17,20,579,599,0.0345
KafNR77_25,137,520,657,0.2635
KafNR77_32,255,425,680,0.6
ecixsWF_0,27,235,262,0.1149
j7VrHR1_0,10,72,82,0.1389
v8bw2f3_0,41,331,372,0.1239
jpxZ990_0,63,564,627,0.1117
nsrVEnT_0,984,97,1081,10.1443
nsrVEnT_3,1289,210,1499,6.1381
nsrVEnT_6,364,113,477,3.2212
nsrVEnT_10,603,79,682,7.6329
nsrVEnT_16,1041,116,1157,8.9741
nsrVEnT_18,1042,121,1163,8.6116
nsrVEnT_20,1337,171,1508,7.8187
nsrVEnT_22,669,271,940,2.4686
nsrVEnT_26,716,123,839,5.8211
nsrVEnT_30,668,158,826,4.2278
nsrVEnT_40,60,169,229,0.355
sCFErnY_0,1589,2,1591,794.5
sCFErnY_4,1012,137,1149,7.3869
sCFErnY_8,1910,119,2029,16.0504
sCFErnY_9,678,119,797,5.6975
sCFErnY_14,308,100,408,3.08
sCFErnY_22,471,1,472,471.0
XVq0Pv9_0,36,641,677,0.0562
XVq0Pv9_15,2,715,717,0.0028
XVq0Pv9_33,6,68,74,0.0882
IOir4ku_0,12,252,264,0.0476
13VyV6c_0,176,7,183,25.1429
3nREEKO_0,390,284,674,1.3732
tu5AtrM_0,59,284,343,0.2077
FAUVyX5_0,7,757,764,0.0092
lSwAbhM_0,428,26,454,16.4615
2i5Ouvg_0,426,556,982,0.7662
AD9yMkr_0,16,270,286,0.0593
VIAadbA_0,107,658,765,0.1626
sxjC1OE_0,59,425,484,0.1388
BNE00ot_0,179,124,303,1.4435
SCk4ZLX_0,2,9,11,0.2222
7Xh1FV7_0,15,181,196,0.0829
s2UHfDj_0,306,234,540,1.3077
s2UHfDj_9,281,604,885,0.4652
kgekZ1A_0,8,275,283,0.0291
kgekZ1A_12,19,385,404,0.0494
SddWJmy_0,9,18,27,0.5
xkkfAkE_0,99,29,128,3.4138
wOII1sT_0,66,232,298,0.2845
P8JUxXz_0,21,173,194,0.1214
VzC6nIz_0,21,680,701,0.0309
5R8LMUE_0,12,483,495,0.0248
2zDyyMW_0,23,150,173,0.1533
iCmviE7_0,8,287,295,0.0279
iCmviE7_9,8,451,459,0.0177
4OMZp3j_0,19,443,462,0.0429
EcMDuzR_0,8,126,134,0.0635
2JGvW9D_0,32,354,386,0.0904
2JGvW9D_8,900,175,1075,5.1429
2JGvW9D_17,448,177,625,2.5311
2JGvW9D_29,95,170,265,0.5588
2JGvW9D_35,35,848,883,0.0413
2JGvW9D_43,25,601,626,0.0416
2JGvW9D_51,49,321,370,0.1526
2JGvW9D_59,15,829,844,0.0181
2JGvW9D_63,16,997,1013,0.016
2JGvW9D_69,49,599,648,0.0818
2JGvW9D_75,10,706,716,0.0142
2JGvW9D_84,2003,668,2671,2.9985
2JGvW9D_86,1836,760,2596,2.4158
5mXmlH0_0,78,131,209,0.5954
5mXmlH0_25,10,197,207,0.0508
5mXmlH0_49,11,219,230,0.0502
5mXmlH0_63,9,353,362,0.0255
pHugzAa_0,71,123,194,0.5772
xFOGGTt_0,2,9,11,0.2222
fCHhS9D_0,10,55,65,0.1818
vFyjMyK_0,9,185,194,0.0486
My0uOkF_0,7,88,95,0.0795
flC1xRk_0,13,203,216,0.064
flC1xRk_13,8,253,261,0.0316
g3YBx1n_0,26,706,732,0.0368
WxwTPwJ_0,66,421,487,0.1568
rcgl3wR_0,680,141,821,4.8227
rcgl3wR_11,147,252,399,0.5833
rcgl3wR_23,19,196,215,0.0969
rcgl3wR_39,11,204,215,0.0539
rcgl3wR_49,18,398,416,0.0452
rcgl3wR_57,15,279,294,0.0538
i2v58tM_0,7,87,94,0.0805
Rz8RfrO_0,38,479,517,0.0793
MOyX7U4_0,9,277,286,0.0325
GQsoOmw_0,13,773,786,0.0168
GQsoOmw_7,16,96,112,0.1667
GQsoOmw_13,11,798,809,0.0138
hSLtFMf_0,283,250,533,1.132
1u5bn2j_0,76,394,470,0.1929
zfPVAlD_0,15,191,206,0.0785
1M3ZTSI_0,41,370,411,0.1108
qwEVkhi_0,18,328,346,0.0549
k0KpHD9_0,116,122,238,0.9508
WiLNa5r_0,45,122,167,0.3689
E9wqXIC_0,1036,806,1842,1.2854
FUWOyil_0,18,228,246,0.0789
ffpn52l_0,69,212,281,0.3255
4gp654Z_0,63,246,309,0.2561
5PrPANu_0,112,709,821,0.158
5PrPANu_7,46,372,418,0.1237
5PrPANu_15,55,537,592,0.1024
5PrPANu_21,35,534,569,0.0655
5PrPANu_25,2,1065,1067,0.0019
5PrPANu_29,10,526,536,0.019
5PrPANu_40,52,355,407,0.1465
bTtFZB1_0,9,17,26,0.5294
CqTmGsf_0,28,230,258,0.1217
cMyzlyo_0,28,313,341,0.0895
EzgAd4c_0,167,56,223,2.9821
EzgAd4c_13,4,329,333,0.0122
IKUdaBa_0,288,186,474,1.5484
ApLmJ9k_0,126,227,353,0.5551
btcUuB5_0,5,381,386,0.0131
5U2iPQ4_0,9,277,286,0.0325
ZZG8U3b_0,11,246,257,0.0447
S5bjSp8_0,20,253,273,0.0791
IIDZM1w_0,66,38,104,1.7368
IIDZM1w_23,30,512,542,0.0586
IIDZM1w_39,94,58,152,1.6207
IIDZM1w_51,34,299,333,0.1137
IIDZM1w_69,30,360,390,0.0833
NECsKwn_0,15,514,529,0.0292
ZYY26AT_0,297,76,373,3.9079
9wLFAsd_0,1195,407,1602,2.9361
9wLFAsd_3,2,539,541,0.0037
9wLFAsd_11,2,688,690,0.0029
9wLFAsd_19,42,784,826,0.0536
9wLFAsd_23,45,568,613,0.0792
9wLFAsd_28,121,666,787,0.1817
9wLFAsd_33,169,453,622,0.3731
9wLFAsd_39,2,774,776,0.0026
9wLFAsd_47,29,39,68,0.7436
9wLFAsd_53,2,795,797,0.0025
9wLFAsd_57,9,463,472,0.0194
9wLFAsd_62,101,782,883,0.1292
ThXPitQ_0,3,316,319,0.0095
ThXPitQ_11,4,351,355,0.0114
7kLdzkf_0,17,420,437,0.0405
7kLdzkf_7,10,812,822,0.0123
sEApyJP_0,5,390,395,0.0128
sEApyJP_5,1094,905,1999,1.2088
sEApyJP_7,50,943,993,0.053
sEApyJP_11,140,928,1068,0.1509
sEApyJP_14,1571,935,2506,1.6802
sEApyJP_15,137,935,1072,0.1465
sEApyJP_18,1590,449,2039,3.5412
uhQTp1d_0,33,278,311,0.1187
3sa4Cml_0,44,367,411,0.1199
weBvFCK_0,16,116,132,0.1379
KRjBYkX_0,75,907,982,0.0827
KRjBYkX_7,70,706,776,0.0992
KRjBYkX_17,20,469,489,0.0426
KRjBYkX_27,22,304,326,0.0724
KRjBYkX_37,12,538,550,0.0223
KRjBYkX_47,59,346,405,0.1705
KRjBYkX_59,11,261,272,0.0421
TyBZ7ZG_0,14,146,160,0.0959
TyBZ7ZG_7,3,826,829,0.0036
TyBZ7ZG_13,276,537,813,0.514
TyBZ7ZG_17,64,646,710,0.0991
TyBZ7ZG_25,121,611,732,0.198
TyBZ7ZG_29,39,432,471,0.0903
Q2poPBS_0,18,331,349,0.0544
QQjpneP_0,11,306,317,0.0359
6kuCDjT_0,94,581,675,0.1618
Fmivq5V_0,32,314,346,0.1019
Fmivq5V_5,14,844,858,0.0166
Fmivq5V_11,54,622,676,0.0868
Fmivq5V_15,17,706,723,0.0241
Fmivq5V_21,12,592,604,0.0203
Fmivq5V_25,49,800,849,0.0612
Fmivq5V_29,4,614,618,0.0065
fFmhahy_0,54,41,95,1.3171
9RKXqwT_0,45,183,228,0.2459
xMOjHOk_0,2,9,11,0.2222
n9q3eN1_0,78,337,415,0.2315
PtRRfvK_0,32,900,932,0.0356
B7pZlA3_0,162,307,469,0.5277
kXfdkAu_0,24,90,114,0.2667
06mXEVd_0,278,429,707,0.648
AiyRpUi_0,24,223,247,0.1076
eOWJ8v0_0,1737,167,1904,10.4012
eOWJ8v0_2,39,222,261,0.1757
eOWJ8v0_10,44,244,288,0.1803
bEP6VNB_0,26,248,274,0.1048
sqV107y_0,104,4,108,26.0
sO4GPky_0,26,252,278,0.1032
LB32wUD_0,6,172,178,0.0349
0kMM1sV_0,137,170,307,0.8059
6SFDwjt_0,369,2,371,184.5
6SFDwjt_9,13,228,241,0.057
6SFDwjt_17,62,281,343,0.2206
6SFDwjt_27,135,201,336,0.6716
6SFDwjt_32,271,239,510,1.1339
pWqFOk4_0,14,158,172,0.0886
zGF0EmX_0,84,504,588,0.1667
zGF0EmX_13,19,169,188,0.1124
zGF0EmX_19,2,862,864,0.0023
zGF0EmX_25,2,547,549,0.0037
zGF0EmX_31,2,874,876,0.0023
zGF0EmX_43,8,858,866,0.0093
fbrlNKp_0,5,73,78,0.0685
X1KM796_0,1201,861,2062,1.3949
X1KM796_1,25,861,886,0.029
X1KM796_5,16,843,859,0.019
X1KM796_8,1214,768,1982,1.5807
X1KM796_10,49,670,719,0.0731
X1KM796_17,84,587,671,0.1431
X1KM796_23,26,392,418,0.0663
X1KM796_31,13,920,933,0.0141
yG4Y8DR_0,9,219,228,0.0411
JBpeXcJ_0,11,530,541,0.0208
YCByVOH_0,23,223,246,0.1031
0MSXFLA_0,5,372,377,0.0134
Amcqb2I_0,8,289,297,0.0277
ZCyCgE7_0,17,586,603,0.029
ZCyCgE7_9,11,388,399,0.0284
DDG465N_0,28,29,57,0.9655
DDG465N_21,9,328,337,0.0274
V7jGmRk_0,169,226,395,0.7478
V7jGmRk_9,62,377,439,0.1645
5WGjUTp_0,50,309,359,0.1618
0RDKk9A_0,342,209,551,1.6364
0RDKk9A_11,13,340,353,0.0382
iINw2Df_0,39,305,344,0.1279
HOVz2Ic_0,14,84,98,0.1667
Mv0LPI8_0,12,351,363,0.0342
Mv0LPI8_9,10,714,724,0.014
Mv0LPI8_15,6,705,711,0.0085
Mv0LPI8_23,11,731,742,0.015
Mv0LPI8_29,17,382,399,0.0445
Mv0LPI8_36,19,372,391,0.0511
Mv0LPI8_46,20,303,323,0.066
Mv0LPI8_57,13,439,452,0.0296
Mv0LPI8_67,8,427,435,0.0187
Mv0LPI8_73,6,723,729,0.0083
Mv0LPI8_85,11,297,308,0.037
Mv0LPI8_95,11,658,669,0.0167
Mv0LPI8_103,17,345,362,0.0493
Mv0LPI8_111,8,679,687,0.0118
Mv0LPI8_119,7,182,189,0.0385
Mv0LPI8_135,10,255,265,0.0392
Mv0LPI8_145,12,399,411,0.0301
Mv0LPI8_155,18,692,710,0.026
Mv0LPI8_161,2,625,627,0.0032
Mv0LPI8_177,18,278,296,0.0647
Wt1dNjn_0,14,491,505,0.0285
Qn7CZQR_0,91,262,353,0.3473
7pf7jnw_0,17,445,462,0.0382
BXPZilv_0,43,51,94,0.8431
UblRF22_0,10,260,270,0.0385
7obF1wp_0,22,315,337,0.0698
tESxx1y_0,144,332,476,0.4337
8AexfDL_0,104,183,287,0.5683
Die83x8_0,36,104,140,0.3462
lRem3ml_0,5,14,19,0.3571
xvgM2Vv_0,44,49,93,0.898
xvgM2Vv_13,17,214,231,0.0794
xvgM2Vv_27,50,204,254,0.2451
ona6z8h_0,24,32,56,0.75
7CszOst_0,90,143,233,0.6294
EULTfJY_0,3,23,26,0.1304
EULTfJY_13,12,339,351,0.0354
iXz1aWb_0,13,305,318,0.0426
Q3LjFjq_0,420,274,694,1.5328
jrcBoEV_0,29,141,170,0.2057
j8oKg53_0,21,159,180,0.1321
fr02yt9_0,63,108,171,0.5833
zWOmeYU_0,426,625,1051,0.6816
zWOmeYU_5,27,664,691,0.0407
j4ouX9d_0,54,262,316,0.2061
ln2Tm5q_0,183,56,239,3.2679
M0OZa0V_0,68,178,246,0.382
a2PpVOy_0,12,171,183,0.0702
Pl3w316_0,36,348,384,0.1034
Pl3w316_11,15,352,367,0.0426
0FSHjIq_0,82,267,349,0.3071
khKiYli_0,12,503,515,0.0239
khKiYli_9,2,826,828,0.0024
pJdkdSr_0,221,604,825,0.3659
rbVBvBu_0,20,366,386,0.0546
V0lwWVH_0,14,94,108,0.1489
Coy87Sb_0,14,466,480,0.03
CH2ALTl_0,38,77,115,0.4935
J4JgaBk_0,19,583,602,0.0326
J4JgaBk_7,2,729,731,0.0027
J4JgaBk_11,2,601,603,0.0033
btDnuGS_0,10,255,265,0.0392
7ihYNEw_0,8,318,326,0.0252
y9WCDUA_0,17,379,396,0.0449
RhkvFaO_0,2,9,11,0.2222
GLZUwGc_0,11,131,142,0.084
BuGkPju_0,15,286,301,0.0524
BuGkPju_13,18,368,386,0.0489
BuGkPju_22,33,341,374,0.0968
BuGkPju_33,35,427,462,0.082
1odnbUp_0,140,395,535,0.3544
1odnbUp_15,23,281,304,0.0819
POPqo1C_0,276,91,367,3.033
nGEdZMv_0,2539,212,2751,11.9764
nGEdZMv_1,15,212,227,0.0708
GzVGdyk_0,6,127,133,0.0472
I6123hO_0,17,306,323,0.0556
9PB04DI_0,256,132,388,1.9394
9PB04DI_7,84,274,358,0.3066
9PB04DI_18,362,131,493,2.7634
9PB04DI_26,178,89,267,2.0
BHD7bcR_0,16,400,416,0.04
oZ5ltlA_0,9,104,113,0.0865
J6IZ1vv_0,19,298,317,0.0638
OMkoRuI_0,13,158,171,0.0823
kIYj22T_0,156,145,301,1.0759
gIufPsU_0,3,32,35,0.0938
xWCuiyZ_0,33,514,547,0.0642
41C4qFa_0,7,154,161,0.0455
41C4qFa_13,9,293,302,0.0307
41C4qFa_23,5,226,231,0.0221
4DMLRZ2_0,65,317,382,0.205
IZI9QDH_0,2387,699,3086,3.4149
IZI9QDH_1,2,699,701,0.0029
SF6KWw1_0,1148,290,1438,3.9586
SF6KWw1_9,1385,163,1548,8.4969
SF6KWw1_13,12,150,162,0.08
SF6KWw1_28,1027,354,1381,2.9011
SF6KWw1_35,22,157,179,0.1401
SF6KWw1_41,12,304,316,0.0395
SF6KWw1_64,48,173,221,0.2775
SF6KWw1_73,50,132,182,0.3788
SF6KWw1_99,11,92,103,0.1196
SF6KWw1_118,1152,323,1475,3.5666
SF6KWw1_120,1487,363,1850,4.0964
SF6KWw1_123,75,146,221,0.5137
SF6KWw1_132,1125,222,1347,5.0676
SF6KWw1_140,954,117,1071,8.1538
SF6KWw1_155,21,229,250,0.0917
SF6KWw1_167,37,197,234,0.1878
SF6KWw1_180,1178,324,1502,3.6358
9SD8E8w_0,33,177,210,0.1864
kvKDA9h_0,18,436,454,0.0413
cNbbNar_0,129,176,305,0.733
UJ6kkk5_0,116,605,721,0.1917
ORMbznL_0,11,299,310,0.0368
07VSQYV_0,11,422,433,0.0261
FmCQLni_0,1251,399,1650,3.1353
GkdVvCF_0,20645,768,21413,26.8815
lWHZaU2_0,16,63,79,0.254
PbtBcAm_0,488,102,590,4.7843
wFjW3MY_0,24,43,67,0.5581
fzj9Vtm_0,32,390,422,0.0821
3H6RNjb_0,16,227,243,0.0705
QP3Yaoc_0,29,288,317,0.1007
QP3Yaoc_13,9,54,63,0.1667
C8vFT4L_0,322,243,565,1.3251
9HBhmC6_0,1345,366,1711,3.6749
9HBhmC6_1,4,366,370,0.0109
9HBhmC6_6,745,702,1447,1.0613
9HBhmC6_9,11,741,752,0.0148
9HBhmC6_22,326,243,569,1.3416
v7lfJ5E_0,14,40,54,0.35
xYURy32_0,42,23,65,1.8261
xYURy32_10,277,36,313,7.6944
xYURy32_19,27,316,343,0.0854
KjF70Iy_0,158,786,944,0.201
KjF70Iy_5,5,793,798,0.0063
KjF70Iy_9,25,510,535,0.049
KjF70Iy_19,5,831,836,0.006
KjF70Iy_23,7,384,391,0.0182
KjF70Iy_31,5,817,822,0.0061
KjF70Iy_35,5,867,872,0.0058
KjF70Iy_39,28,750,778,0.0373
GjUumVV_0,32,307,339,0.1042
AiMDqzo_0,31,156,187,0.1987
AiMDqzo_9,6,556,562,0.0108
i0nDinx_0,10,72,82,0.1389
skRMNld_0,45,310,355,0.1452
ljZuCN3_0,5,134,139,0.0373
y9ryqUw_0,12,197,209,0.0609
rpHsS1Q_0,8,41,49,0.1951
rpHsS1Q_13,3,235,238,0.0128
hG4OMpU_0,8,447,455,0.0179
CeVEJI1_0,12,190,202,0.0632
xW1dXoY_0,11,732,743,0.015
Key03Rh_0,88,24,112,3.6667
DadCzTA_0,11,238,249,0.0462
EcvnZ3B_0,19,416,435,0.0457
EcvnZ3B_8,330,157,487,2.1019
EcvnZ3B_17,6,469,475,0.0128
EcvnZ3B_25,6,426,432,0.0141
EcvnZ3B_33,5,622,627,0.008
ulMWGu1_0,32,228,260,0.1404
RFw4j0W_0,7,68,75,0.1029
Lf9Yg5c_0,3,201,204,0.0149
UFUIIB5_0,32,376,408,0.0851
UFUIIB5_12,22,319,341,0.069
VoGnNIY_0,8,300,308,0.0267
VoGnNIY_13,12,385,397,0.0312
9mJiRdo_0,12,66,78,0.1818
9mJiRdo_13,16,713,729,0.0224
9mJiRdo_19,12,447,459,0.0268
9mJiRdo_29,7,360,367,0.0194
9mJiRdo_41,11,384,395,0.0286
9mJiRdo_53,7,282,289,0.0248
pfUJsHS_0,17,352,369,0.0483
BzGyUWn_0,117,204,321,0.5735
6DmKCUM_0,54,370,424,0.1459
ewLsx3k_0,454,126,580,3.6032
ipe1nhQ_0,1218,309,1527,3.9417
ipe1nhQ_5,46,272,318,0.1691
ipe1nhQ_19,54,234,288,0.2308
TU7qXQ6_0,25,153,178,0.1634
Lcl15NZ_0,141,142,283,0.993
k5HzBL1_0,45,295,340,0.1525
k5HzBL1_15,17,314,331,0.0541
lDVDe5H_0,36,63,99,0.5714
lDVDe5H_14,100,448,548,0.2232
lDVDe5H_21,52,364,416,0.1429
lDVDe5H_31,172,450,622,0.3822
lDVDe5H_39,84,257,341,0.3268
lDVDe5H_51,64,358,422,0.1788
lDVDe5H_61,93,357,450,0.2605
lDVDe5H_67,100,355,455,0.2817
lDVDe5H_79,150,154,304,0.974
lDVDe5H_91,131,329,460,0.3982
lDVDe5H_100,84,278,362,0.3022
lDVDe5H_113,24,270,294,0.0889
lDVDe5H_123,19,407,426,0.0467
lDVDe5H_133,58,320,378,0.1812
lDVDe5H_143,72,418,490,0.1722
lDVDe5H_151,89,320,409,0.2781
lDVDe5H_159,55,439,494,0.1253
lDVDe5H_167,45,343,388,0.1312
lDVDe5H_176,116,248,364,0.4677
lDVDe5H_185,105,355,460,0.2958
lDVDe5H_195,59,307,366,0.1922
lDVDe5H_205,41,235,276,0.1745
lDVDe5H_215,59,252,311,0.2341
lDVDe5H_223,73,681,754,0.1072
lDVDe5H_231,83,263,346,0.3156
lDVDe5H_241,87,252,339,0.3452
lDVDe5H_251,44,196,240,0.2245
lDVDe5H_261,91,365,456,0.2493
lDVDe5H_269,42,474,516,0.0886
lDVDe5H_279,29,360,389,0.0806
lDVDe5H_289,72,494,566,0.1457
lDVDe5H_297,72,309,381,0.233
lDVDe5H_305,34,452,486,0.0752
lDVDe5H_312,122,302,424,0.404
lDVDe5H_321,63,358,421,0.176
lDVDe5H_329,71,371,442,0.1914
lDVDe5H_339,60,398,458,0.1508
lDVDe5H_348,49,307,356,0.1596
lDVDe5H_359,37,333,370,0.1111
lDVDe5H_369,57,423,480,0.1348
